Time [s],Packet ID,MOSI,MISO
4.27534808333333,227,e (0x65),e (0x65)
4.27565058333333,228,g (0x67),g (0x67)
4.27595308333333,229,i (0x69),i (0x69)
4.27625558333333,230,k (0x6B),k (0x6B)
4.27655808333333,231,m (0x6D),m (0x6D)
4.276860625,232,o (0x6F),o (0x6F)
4.277163125,233,q (0x71),q (0x71)
4.277465625,234,s (0x73),s (0x73)
4.277768125,235,u (0x75),u (0x75)
4.278070625,236,w (0x77),w (0x77)
4.278373125,237,y (0x79),y (0x79)
4.278675625,238,{ (0x7B),{ (0x7B)
4.27897804166667,239,A (0x41),A (0x41)
4.27928054166667,240,C (0x43),C (0x43)
4.27958304166667,241,E (0x45),E (0x45)
4.27988554166667,242,G (0x47),G (0x47)
4.28018804166667,243,I (0x49),I (0x49)
4.28049054166667,244,K (0x4B),K (0x4B)
4.28079304166667,245,M (0x4D),M (0x4D)
4.28109558333333,246,O (0x4F),O (0x4F)
4.28139808333333,247,Q (0x51),Q (0x51)
4.28170058333333,248,S (0x53),S (0x53)
4.28200308333333,249,U (0x55),U (0x55)
4.28230558333333,250,W (0x57),W (0x57)
4.28260808333333,251,Y (0x59),Y (0x59)
4.28291058333333,252,[ (0x5B),[ (0x5B)
4.28321308333333,253,] (0x5D),] (0x5D)
4.28351558333333,254,_ (0x5F),_ (0x5F)
4.28381808333333,255,a (0x61),a (0x61)
4.284120625,256,c (0x63),c (0x63)
4.284423125,257,e (0x65),e (0x65)
4.284725625,258,g (0x67),g (0x67)
4.285028125,259,i (0x69),i (0x69)
4.285330625,260,k (0x6B),k (0x6B)
4.285633125,261,m (0x6D),m (0x6D)
4.285935625,262,o (0x6F),o (0x6F)
4.286238125,263,q (0x71),q (0x71)
4.286540625,264,s (0x73),s (0x73)
4.28684316666667,265,u (0x75),u (0x75)
4.28714566666667,266,w (0x77),w (0x77)
4.28744816666667,267,y (0x79),y (0x79)
4.28775066666667,268,{ (0x7B),{ (0x7B)
4.28805304166667,269,A (0x41),A (0x41)
4.28835558333333,270,C (0x43),C (0x43)
4.28865808333333,271,E (0x45),E (0x45)
4.28896058333333,272,G (0x47),G (0x47)
4.28926308333333,273,I (0x49),I (0x49)
4.28956558333333,274,K (0x4B),K (0x4B)
4.28986808333333,275,M (0x4D),M (0x4D)
4.29017058333333,276,O (0x4F),O (0x4F)
4.29047308333333,277,Q (0x51),Q (0x51)
4.29077558333333,278,S (0x53),S (0x53)
4.29107808333333,279,U (0x55),U (0x55)
4.291380625,280,W (0x57),W (0x57)
4.291683125,281,Y (0x59),Y (0x59)
4.291985625,282,[ (0x5B),[ (0x5B)
4.292288125,283,] (0x5D),] (0x5D)
4.292590625,284,_ (0x5F),_ (0x5F)
4.292893125,285,a (0x61),a (0x61)
4.293195625,286,c (0x63),c (0x63)
4.293498125,287,e (0x65),e (0x65)
4.293800625,288,g (0x67),g (0x67)
4.29410316666667,289,i (0x69),i (0x69)
4.29440566666667,290,k (0x6B),k (0x6B)
4.29470816666667,291,m (0x6D),m (0x6D)
4.29501066666667,292,o (0x6F),o (0x6F)
4.29531316666667,293,q (0x71),q (0x71)
4.29561566666667,294,s (0x73),s (0x73)
4.29591816666667,295,u (0x75),u (0x75)
4.29622066666667,296,w (0x77),w (0x77)
4.29652316666667,297,y (0x79),y (0x79)
4.29682566666667,298,{ (0x7B),{ (0x7B)
4.29712808333333,299,A (0x41),A (0x41)
4.29743058333333,300,C (0x43),C (0x43)
4.29773308333333,301,E (0x45),E (0x45)
4.29803558333333,302,G (0x47),G (0x47)
4.298338125,303,I (0x49),I (0x49)
4.298640625,304,K (0x4B),K (0x4B)
4.298943125,305,M (0x4D),M (0x4D)
4.299245625,306,O (0x4F),O (0x4F)
4.299548125,307,Q (0x51),Q (0x51)
4.299850625,308,S (0x53),S (0x53)
4.300153125,309,U (0x55),U (0x55)
4.300455625,310,W (0x57),W (0x57)
4.300758125,311,Y (0x59),Y (0x59)
4.301060625,312,[ (0x5B),[ (0x5B)
4.30136316666667,313,] (0x5D),] (0x5D)
4.30166566666667,314,_ (0x5F),_ (0x5F)
4.30196816666667,315,a (0x61),a (0x61)
4.30227066666667,316,c (0x63),c (0x63)
4.30257316666667,317,e (0x65),e (0x65)
4.30287566666667,318,g (0x67),g (0x67)
4.30317816666667,319,i (0x69),i (0x69)
4.30348066666667,320,k (0x6B),k (0x6B)
4.30378316666667,321,m (0x6D),m (0x6D)
4.30408570833333,322,o (0x6F),o (0x6F)
4.30438820833333,323,q (0x71),q (0x71)
4.30469070833333,324,s (0x73),s (0x73)
4.30499320833333,325,u (0x75),u (0x75)
4.30529570833333,326,w (0x77),w (0x77)
4.30559820833333,327,y (0x79),y (0x79)
4.30590070833333,328,{ (0x7B),{ (0x7B)
4.306203125,329,A (0x41),A (0x41)
4.306505625,330,C (0x43),C (0x43)
4.306808125,331,E (0x45),E (0x45)
4.307110625,332,G (0x47),G (0x47)
4.307413125,333,I (0x49),I (0x49)
4.307715625,334,K (0x4B),K (0x4B)
4.308018125,335,M (0x4D),M (0x4D)
4.308320625,336,O (0x4F),O (0x4F)
4.30862316666667,337,Q (0x51),Q (0x51)
4.30892566666667,338,S (0x53),S (0x53)
4.30922816666667,339,U (0x55),U (0x55)
4.30953066666667,340,W (0x57),W (0x57)
4.30983316666667,341,Y (0x59),Y (0x59)
4.31013566666667,342,[ (0x5B),[ (0x5B)
4.31043816666667,343,] (0x5D),] (0x5D)
4.31074066666667,344,_ (0x5F),_ (0x5F)
4.31104316666667,345,a (0x61),a (0x61)
4.31134570833333,346,c (0x63),c (0x63)
4.31164820833333,347,e (0x65),e (0x65)
4.31195070833333,348,g (0x67),g (0x67)
4.31225320833333,349,i (0x69),i (0x69)
4.31255570833333,350,k (0x6B),k (0x6B)
4.31285820833333,351,m (0x6D),m (0x6D)
4.31316070833333,352,o (0x6F),o (0x6F)
4.31346320833333,353,q (0x71),q (0x71)
4.31376570833333,354,s (0x73),s (0x73)
4.31406820833333,355,u (0x75),u (0x75)
4.31437075,356,w (0x77),w (0x77)
4.31467325,357,y (0x79),y (0x79)
4.31497575,358,{ (0x7B),{ (0x7B)
4.315278125,359,A (0x41),A (0x41)
4.315580625,360,C (0x43),C (0x43)
4.31588316666667,361,E (0x45),E (0x45)
4.31618566666667,362,G (0x47),G (0x47)
4.31648816666667,363,I (0x49),I (0x49)
4.31679066666667,364,K (0x4B),K (0x4B)
4.31709316666667,365,M (0x4D),M (0x4D)
4.31739566666667,366,O (0x4F),O (0x4F)
4.31769816666667,367,Q (0x51),Q (0x51)
4.31800066666667,368,S (0x53),S (0x53)
4.31830316666667,369,U (0x55),U (0x55)
4.31860570833333,370,W (0x57),W (0x57)
4.31890820833333,371,Y (0x59),Y (0x59)
4.31921070833333,372,[ (0x5B),[ (0x5B)
4.31951320833333,373,] (0x5D),] (0x5D)
4.31981570833333,374,_ (0x5F),_ (0x5F)
4.32011820833333,375,a (0x61),a (0x61)
4.32042070833333,376,c (0x63),c (0x63)
